IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.171.225.232,8080,80,false,ORD,North America,Chicago,244,0.00
18.171.225.232,443,80,false,ORD,North America,Chicago,243,0.00
52.56.130.239,2096,80,false,ORD,North America,Chicago,244,0.00
18.171.225.232,2087,80,false,ORD,North America,Chicago,323,0.00
3.8.89.242,2086,80,false,ORD,North America,Chicago,244,0.00
3.8.89.242,8080,80,false,ORD,North America,Chicago,320,0.00
3.110.43.175,2083,80,false,ORD,North America,Chicago,55,0.00
75.2.32.4,443,443,true,IAD,North America,Ashburn,1,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.90.43,2086,443,true,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2087,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.228.170.74,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
54.251.118.130,2096,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.251.118.130,2052,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.228.50.161,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
54.251.118.130,2053,80,false,SIN,Asia Pacific,Singapore,3,0.00
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,30,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,69,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,69,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,70,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,71,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,Seoul,72,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,72,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,76,0.00
13.113.14.230,443,443,true,NRT,Asia Pacific,Tokyo,81,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,93,0.00
